FacilityKey,Facility Type,Latitude,Longitude,CountryCode,CountryName,GlobalRegion,SubRegion,CurrencyCode,PrivacyRegime,ProvinceState,City,LyraFacilityType,ActiveFlag
339,Pharmacy,9.713015630994022,11.90267737199408,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,California,Los Angeles,In-Person Counselling Centre,1
340,Pharmacy,12.97311452344417,13.192950920012922,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,New York,Seattle,In-Person Counselling Centre,1
341,Pharmacy,4.842188236557201,10.009775971004704,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,California,Los Angeles,In-Person Counselling Centre,1
342,Pharmacy,8.301835324827207,8.580508824895523,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Florida,Seattle,In-Person Counselling Centre,1
343,Pharmacy,13.411614576715891,14.152875782318354,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,Austin,Corporate Wellness Site,1
344,Pharmacy,13.48730557973244,11.632123482996809,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,New York,Miami,Digital Care Hub,1
345,Pharmacy,7.50064497507778,14.21028952720208,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,California,Austin,Corporate Wellness Site,1
346,Pharmacy,11.764038040141408,8.151778253545103,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Free State,Johannesburg,In-Person Counselling Centre,1
347,Pharmacy,5.006191130046381,13.748055488308918,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Gauteng,Cape Town,Digital Care Hub,1
348,Pharmacy,12.352004263711684,4.796479806201869,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,New York,Seattle,Digital Care Hub,1
349,Pharmacy,13.344459052613754,6.782617006513004,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,California,Seattle,Digital Care Hub,1
350,Pharmacy,5.561445112200691,9.495621365642394,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Gauteng,Cape Town,Digital Care Hub,1
351,Pharmacy,6.975577287729491,10.891116596201217,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Washington,Los Angeles,Telephone Counselling Centre,1
352,Pharmacy,5.2236490269921605,6.7454341807850895,AU,Australia,Asia-Pacific,Oceania,AUD,Australian Privacy Act-oriented controls,Victoria,Melbourne,In-Person Counselling Centre,1
353,Pharmacy,9.445875384702392,8.200560137349553,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Gauteng,Durban,Telephone Counselling Centre,1
354,Pharmacy,10.532520950402692,3.5605848962211346,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Washington,Seattle,In-Person Counselling Centre,1
355,Pharmacy,4.564982999294003,12.227051422499668,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,California,New York,In-Person Counselling Centre,1
356,Pharmacy,10.126199037071045,9.4146350363216,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,KwaZulu-Natal,Durban,Digital Care Hub,1
357,Pharmacy,7.034273496323606,14.504688276212114,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,New York,New York,Critical Incident Response Centre,1
358,Pharmacy,6.293261747026879,12.418459997203849,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,KwaZulu-Natal,Bloemfontein,Digital Care Hub,1
359,Pharmacy,11.664527268335709,6.970695073312156,CA,Canada,North America,Canada,CAD,PIPEDA-oriented privacy controls,Quebec,Toronto,Digital Care Hub,1
360,Pharmacy,8.710882465001404,14.653111810693392,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Free State,Cape Town,In-Person Counselling Centre,1
361,Pharmacy,8.884589498199066,10.74985876623712,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,New York,Austin,Digital Care Hub,1
362,Pharmacy,13.712204325191324,6.100224271808987,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Eastern Cape,Pretoria,Telephone Counselling Centre,1
363,Pharmacy,7.240548936888958,12.537590737414115,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,Austin,Telephone Counselling Centre,1
364,Pharmacy,7.714609781503878,5.3085252191874,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,New York,Miami,In-Person Counselling Centre,1
365,Pharmacy,8.044267314720143,4.647555651321723,CA,Canada,North America,Canada,CAD,PIPEDA-oriented privacy controls,Quebec,Vancouver,In-Person Counselling Centre,1
366,Pharmacy,8.069883667172945,5.987464272502622,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,New York,New York,Telephone Counselling Centre,1
367,Pharmacy,10.965680336419336,9.844988905395011,CA,Canada,North America,Canada,CAD,PIPEDA-oriented privacy controls,Quebec,Ottawa,Telephone Counselling Centre,1
368,Pharmacy,9.709694190939516,13.272924849935134,AU,Australia,Asia-Pacific,Oceania,AUD,Australian Privacy Act-oriented controls,New South Wales,Perth,Telephone Counselling Centre,1
369,Pharmacy,6.213355463605804,11.182010688312925,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,Seattle,Critical Incident Response Centre,1
370,Pharmacy,6.273578019796194,12.49609199579773,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Florida,Los Angeles,In-Person Counselling Centre,1
371,Pharmacy,7.948751737888079,13.275391933275683,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Florida,Miami,In-Person Counselling Centre,1
372,Pharmacy,9.448797782314491,13.788004230631392,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Washington,Austin,Telephone Counselling Centre,1
373,Pharmacy,12.068932713506312,9.154578676018753,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,New York,Los Angeles,Digital Care Hub,1
374,Pharmacy,5.4405773172581,7.082751418105866,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,KwaZulu-Natal,Cape Town,Telephone Counselling Centre,1
375,Pharmacy,13.224739984443392,13.716181635090315,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Washington,Austin,Telephone Counselling Centre,1
376,Pharmacy,10.43556684715912,5.0342438340834,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,Los Angeles,In-Person Counselling Centre,1
377,Pharmacy,11.496369364161776,3.663721238245707,UK,United Kingdom,Europe,Western Europe,GBP,UK GDPR-oriented privacy controls,Northern Ireland,Cardiff,Telephone Counselling Centre,1
378,Pharmacy,12.31029413386165,6.2478734304308645,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,New York,Seattle,Telephone Counselling Centre,1
379,Pharmacy,7.776450656498934,5.670555147570282,UK,United Kingdom,Europe,Western Europe,GBP,UK GDPR-oriented privacy controls,Wales,London,Telephone Counselling Centre,1
380,Pharmacy,5.071871247072327,7.5934153880019295,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Florida,Miami,Telephone Counselling Centre,1
381,Pharmacy,12.180408140497462,7.0479412005730655,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,California,New York,Telephone Counselling Centre,1
382,Pharmacy,10.134026013610391,9.522887455381593,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Eastern Cape,Pretoria,In-Person Counselling Centre,1
383,Pharmacy,7.280708443206288,6.335601830172418,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Free State,Bloemfontein,Corporate Wellness Site,1
384,Pharmacy,8.80118805141884,8.3731553518373,AU,Australia,Asia-Pacific,Oceania,AUD,Australian Privacy Act-oriented controls,Victoria,Perth,Digital Care Hub,1
385,Pharmacy,5.825040431484686,13.138453126271154,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Western Cape,Durban,In-Person Counselling Centre,1
386,Pharmacy,13.881368049951424,10.660883306207197,UK,United Kingdom,Europe,Western Europe,GBP,UK GDPR-oriented privacy controls,England,Belfast,Telephone Counselling Centre,1
387,Pharmacy,4.370009124401206,6.300779539479299,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,New York,New York,Critical Incident Response Centre,1
388,Pharmacy,9.352849665752466,12.815767968067268,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,California,Austin,In-Person Counselling Centre,1
389,Pharmacy,4.929261737827826,4.824383697169125,UK,United Kingdom,Europe,Western Europe,GBP,UK GDPR-oriented privacy controls,Northern Ireland,Cardiff,Telephone Counselling Centre,1
390,Pharmacy,10.019772483076483,7.265485676530046,UK,United Kingdom,Europe,Western Europe,GBP,UK GDPR-oriented privacy controls,England,Belfast,Digital Care Hub,1
391,Pharmacy,6.804012913490183,7.133557392216208,CA,Canada,North America,Canada,CAD,PIPEDA-oriented privacy controls,British Columbia,Vancouver,Telephone Counselling Centre,1
392,Pharmacy,7.11471244778215,9.837867405122276,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Florida,Austin,In-Person Counselling Centre,1
393,Pharmacy,13.046279720527984,9.542910528380125,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,New York,New York,In-Person Counselling Centre,1
394,Pharmacy,8.328064400022253,6.992168505167837,UK,United Kingdom,Europe,Western Europe,GBP,UK GDPR-oriented privacy controls,Wales,Cardiff,Corporate Wellness Site,1
395,Pharmacy,11.329985954808503,13.475935829653048,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,New York,In-Person Counselling Centre,1
396,Pharmacy,4.314580210416719,4.102149862100844,CA,Canada,North America,Canada,CAD,PIPEDA-oriented privacy controls,British Columbia,Toronto,Digital Care Hub,1
397,Pharmacy,12.66330492034898,14.265739135502358,AU,Australia,Asia-Pacific,Oceania,AUD,Australian Privacy Act-oriented controls,Victoria,Brisbane,Critical Incident Response Centre,1
398,Pharmacy,9.25370189751842,4.329006342029222,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,New York,Telephone Counselling Centre,1
399,Pharmacy,5.35886010161376,13.979687954969824,UK,United Kingdom,Europe,Western Europe,GBP,UK GDPR-oriented privacy controls,Wales,Cardiff,Telephone Counselling Centre,1
400,Pharmacy,5.730931077188449,7.82074232359971,UK,United Kingdom,Europe,Western Europe,GBP,UK GDPR-oriented privacy controls,England,Cardiff,In-Person Counselling Centre,1
401,Pharmacy,9.175149106486469,8.336584168289143,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Washington,New York,In-Person Counselling Centre,1
402,Pharmacy,11.791649368456865,12.090903776980024,AU,Australia,Asia-Pacific,Oceania,AUD,Australian Privacy Act-oriented controls,Victoria,Perth,In-Person Counselling Centre,1
403,Pharmacy,9.407603129416866,7.370328746222238,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,Seattle,Critical Incident Response Centre,1
404,Pharmacy,13.15202993489858,11.63487665704587,UK,United Kingdom,Europe,Western Europe,GBP,UK GDPR-oriented privacy controls,Wales,Belfast,Digital Care Hub,1
405,Pharmacy,9.153137331247208,11.02945450468137,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Florida,Seattle,Digital Care Hub,1
406,Pharmacy,7.304994771996233,14.209302340719812,AU,Australia,Asia-Pacific,Oceania,AUD,Australian Privacy Act-oriented controls,New South Wales,Sydney,In-Person Counselling Centre,1
407,Pharmacy,6.410296125049394,10.884243591223326,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,California,New York,Corporate Wellness Site,1
408,Pharmacy,4.743886763426179,10.083185171635645,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Washington,Los Angeles,Critical Incident Response Centre,1
409,Pharmacy,8.098621430674857,7.844504865785154,AU,Australia,Asia-Pacific,Oceania,AUD,Australian Privacy Act-oriented controls,Victoria,Perth,Corporate Wellness Site,1
410,Pharmacy,6.936685788428489,3.599448264873784,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Washington,Los Angeles,Telephone Counselling Centre,1
411,Pharmacy,8.360327754419902,14.375089986823935,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Florida,Miami,Digital Care Hub,1
412,Pharmacy,11.30338301994261,12.055528869222842,CA,Canada,North America,Canada,CAD,PIPEDA-oriented privacy controls,Ontario,Calgary,Telephone Counselling Centre,1
413,Pharmacy,6.951660238421777,4.373529783648509,CA,Canada,North America,Canada,CAD,PIPEDA-oriented privacy controls,Alberta,Montreal,Telephone Counselling Centre,1
414,Pharmacy,11.85349717316414,5.074596237045526,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Eastern Cape,Bloemfontein,Telephone Counselling Centre,1
415,Pharmacy,4.916200029045535,13.60712134178963,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Western Cape,Pretoria,Digital Care Hub,1
416,Pharmacy,13.768012783742048,10.691326717782031,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,New York,Austin,Digital Care Hub,1
417,Pharmacy,4.396313096144015,8.605919487192748,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,California,Seattle,Telephone Counselling Centre,1
418,Pharmacy,5.718773500036527,11.03263737431643,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Florida,Miami,In-Person Counselling Centre,1
419,Pharmacy,4.817091092569424,7.140065571116011,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Free State,Pretoria,In-Person Counselling Centre,1
420,Pharmacy,10.178837156548848,7.898930765488446,UK,United Kingdom,Europe,Western Europe,GBP,UK GDPR-oriented privacy controls,England,London,In-Person Counselling Centre,1
421,Pharmacy,10.710306814349815,8.856019040850741,UK,United Kingdom,Europe,Western Europe,GBP,UK GDPR-oriented privacy controls,Scotland,London,Telephone Counselling Centre,1
422,Pharmacy,12.17848277104109,4.431327481739872,UK,United Kingdom,Europe,Western Europe,GBP,UK GDPR-oriented privacy controls,England,Belfast,In-Person Counselling Centre,1
423,Pharmacy,4.585461563203538,14.599922205994885,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,Miami,Corporate Wellness Site,1
424,Pharmacy,10.020749360426052,5.9953632105842445,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Washington,New York,Telephone Counselling Centre,1
425,Pharmacy,9.451165262454914,6.704320503902319,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,New York,Los Angeles,Telephone Counselling Centre,1
426,Pharmacy,8.580053867227786,12.87445972958766,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Florida,Seattle,In-Person Counselling Centre,1
427,Pharmacy,5.795446961069517,5.877740266246953,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,New York,Miami,Critical Incident Response Centre,1
428,Pharmacy,13.815492459665531,8.514520404623225,AU,Australia,Asia-Pacific,Oceania,AUD,Australian Privacy Act-oriented controls,Victoria,Perth,Digital Care Hub,1
429,Pharmacy,8.496463819806706,11.956645785896772,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Washington,New York,Digital Care Hub,1
430,Pharmacy,7.073040421348745,4.691934674183285,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,California,Seattle,In-Person Counselling Centre,1
431,Pharmacy,7.546989687655143,11.817117931985068,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,California,Miami,Digital Care Hub,1
432,Pharmacy,11.32777509172239,12.429767327038505,UK,United Kingdom,Europe,Western Europe,GBP,UK GDPR-oriented privacy controls,England,London,Telephone Counselling Centre,1
433,Pharmacy,11.13622227238492,9.642460814804428,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Western Cape,Johannesburg,Digital Care Hub,1
434,Pharmacy,9.156308509534185,3.8204620134432377,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,California,Seattle,Critical Incident Response Centre,1
435,Pharmacy,13.124706466075162,14.349266027730412,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,California,New York,Digital Care Hub,1
436,Pharmacy,13.416448741097485,12.998009719821637,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Eastern Cape,Cape Town,Corporate Wellness Site,1
437,Pharmacy,5.453102285324461,4.071884659690742,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Florida,Seattle,Digital Care Hub,1
438,Pharmacy,4.985215759007128,13.207505856151274,UK,United Kingdom,Europe,Western Europe,GBP,UK GDPR-oriented privacy controls,Wales,Manchester,Telephone Counselling Centre,1
439,Pharmacy,12.870544316742787,12.529736874072915,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Gauteng,Durban,Critical Incident Response Centre,1
440,Pharmacy,10.880460012201643,7.0174122124524345,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Washington,Los Angeles,Telephone Counselling Centre,1
441,Pharmacy,12.814582765647472,12.522792649806716,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Washington,Los Angeles,In-Person Counselling Centre,1
442,Pharmacy,7.0366537746328,10.921192842850326,CA,Canada,North America,Canada,CAD,PIPEDA-oriented privacy controls,Ontario,Toronto,Telephone Counselling Centre,1
443,Pharmacy,8.705517626537755,13.709485097554015,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,Austin,Telephone Counselling Centre,1
444,Pharmacy,11.784549933096322,5.3993066253053215,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Florida,Austin,In-Person Counselling Centre,1
445,Pharmacy,12.818643394879269,11.245064094697511,UK,United Kingdom,Europe,Western Europe,GBP,UK GDPR-oriented privacy controls,Scotland,Cardiff,Telephone Counselling Centre,1
446,Pharmacy,5.752312511674132,11.058183072304583,CA,Canada,North America,Canada,CAD,PIPEDA-oriented privacy controls,Quebec,Vancouver,In-Person Counselling Centre,1
447,Pharmacy,6.279888027134527,9.9453875369275,CA,Canada,North America,Canada,CAD,PIPEDA-oriented privacy controls,Alberta,Calgary,Digital Care Hub,1
448,Pharmacy,9.948122619798829,7.484577878897527,UK,United Kingdom,Europe,Western Europe,GBP,UK GDPR-oriented privacy controls,Wales,Manchester,Telephone Counselling Centre,1
449,Pharmacy,5.884001000635276,10.122066417190014,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,Austin,Telephone Counselling Centre,1
450,Pharmacy,5.030534374768975,11.764817832064598,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Washington,Austin,Digital Care Hub,1
451,Pharmacy,6.898315473025825,10.731082112768696,UK,United Kingdom,Europe,Western Europe,GBP,UK GDPR-oriented privacy controls,Scotland,Cardiff,In-Person Counselling Centre,1
452,Pharmacy,13.867009071591331,12.139689396548894,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Western Cape,Bloemfontein,Digital Care Hub,1
453,Pharmacy,7.773295006970574,3.194728586493403,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Florida,Miami,Digital Care Hub,1
454,Pharmacy,12.738461833563017,10.693946618738511,AU,Australia,Asia-Pacific,Oceania,AUD,Australian Privacy Act-oriented controls,Western Australia,Melbourne,Corporate Wellness Site,1
455,Pharmacy,8.940300638065334,6.245450719445829,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,Miami,Digital Care Hub,1
456,Pharmacy,12.06577161088216,6.265320950107515,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Florida,Los Angeles,In-Person Counselling Centre,1
457,Pharmacy,10.131769885621914,11.705175695257134,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Washington,New York,Digital Care Hub,1
458,Pharmacy,5.468008002590924,5.381443763287071,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Washington,New York,Telephone Counselling Centre,1
459,Pharmacy,11.595801604796854,7.914976305698442,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,Seattle,In-Person Counselling Centre,1
460,Pharmacy,6.981453795503178,5.020298133871208,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Washington,Austin,Corporate Wellness Site,1
461,Pharmacy,10.70189910435444,4.26024274734332,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,New York,New York,In-Person Counselling Centre,1
462,Pharmacy,5.956874074626397,14.45589542288806,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,KwaZulu-Natal,Durban,Corporate Wellness Site,1
463,Pharmacy,13.00771688543421,11.371151627557737,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Gauteng,Pretoria,Corporate Wellness Site,1
464,Pharmacy,8.316502938478209,9.554970600958972,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Western Cape,Cape Town,Corporate Wellness Site,1
465,Pharmacy,12.49301224592535,3.777118879944983,CA,Canada,North America,Canada,CAD,PIPEDA-oriented privacy controls,British Columbia,Ottawa,Critical Incident Response Centre,1
466,Pharmacy,7.631158031672838,4.177913449715111,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,California,Austin,In-Person Counselling Centre,1
467,Pharmacy,9.531338043358172,6.432803888132854,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,California,New York,In-Person Counselling Centre,1
468,Pharmacy,5.778208396350537,8.49947099590979,AU,Australia,Asia-Pacific,Oceania,AUD,Australian Privacy Act-oriented controls,Victoria,Brisbane,Digital Care Hub,1
469,Pharmacy,7.81913604560639,12.40690894085819,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,New York,In-Person Counselling Centre,1
470,Pharmacy,13.827235805940967,8.916458046227183,CA,Canada,North America,Canada,CAD,PIPEDA-oriented privacy controls,Alberta,Montreal,Digital Care Hub,1
471,Pharmacy,4.854724834124337,5.639442329324305,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Washington,New York,Digital Care Hub,1
472,Pharmacy,13.083763374394865,9.225018214127948,CA,Canada,North America,Canada,CAD,PIPEDA-oriented privacy controls,Ontario,Calgary,Digital Care Hub,1
473,Pharmacy,13.48559018232356,5.991007461548476,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,California,New York,In-Person Counselling Centre,1
474,Pharmacy,10.921781853885252,8.96444790183044,AU,Australia,Asia-Pacific,Oceania,AUD,Australian Privacy Act-oriented controls,New South Wales,Melbourne,Telephone Counselling Centre,1
475,Pharmacy,9.729290496919546,5.4351281038298245,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,Los Angeles,In-Person Counselling Centre,1
476,Pharmacy,11.007342983445945,5.680360222708165,CA,Canada,North America,Canada,CAD,PIPEDA-oriented privacy controls,Alberta,Vancouver,Telephone Counselling Centre,1
477,Pharmacy,13.606612688948331,11.88859633742699,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,New York,Los Angeles,Corporate Wellness Site,1
478,Pharmacy,7.47483959238869,9.6082576242498,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Western Cape,Bloemfontein,In-Person Counselling Centre,1
479,Pharmacy,4.967846416595675,6.595396136939571,CA,Canada,North America,Canada,CAD,PIPEDA-oriented privacy controls,Ontario,Toronto,Telephone Counselling Centre,1
480,Pharmacy,13.147391830845608,7.654219269760791,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,Miami,Telephone Counselling Centre,1
481,Pharmacy,4.412354581389573,8.658145232036455,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Gauteng,Cape Town,Digital Care Hub,1
482,Pharmacy,11.170806706292275,3.20282284022403,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,KwaZulu-Natal,Bloemfontein,Digital Care Hub,1
483,Pharmacy,12.577947049198308,9.709409308729308,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,New York,Miami,In-Person Counselling Centre,1
484,Pharmacy,8.385963877932307,10.43523910137757,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Gauteng,Durban,Telephone Counselling Centre,1
485,Pharmacy,12.707275086230217,6.5114022527958895,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Western Cape,Durban,In-Person Counselling Centre,1
486,Pharmacy,7.428154102181313,13.266379713968004,AU,Australia,Asia-Pacific,Oceania,AUD,Australian Privacy Act-oriented controls,Western Australia,Sydney,In-Person Counselling Centre,1
487,Pharmacy,4.397444793580284,10.551891380172108,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,Los Angeles,Digital Care Hub,1
488,Pharmacy,9.2660942667776,10.292921561590962,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,Seattle,Digital Care Hub,1
489,Pharmacy,6.032532058181873,6.354757919753689,CA,Canada,North America,Canada,CAD,PIPEDA-oriented privacy controls,British Columbia,Ottawa,In-Person Counselling Centre,1
490,Pharmacy,6.0441477984272645,3.382792900696664,AU,Australia,Asia-Pacific,Oceania,AUD,Australian Privacy Act-oriented controls,New South Wales,Melbourne,Telephone Counselling Centre,1
491,Pharmacy,10.202425399505376,4.286214543828168,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Washington,Seattle,Critical Incident Response Centre,1
492,Pharmacy,5.989677243049939,10.161207928331237,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Western Cape,Johannesburg,In-Person Counselling Centre,1
493,Pharmacy,11.776787366712115,7.545347723024921,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,California,Miami,Digital Care Hub,1
494,Pharmacy,13.469019193015772,11.004324758048575,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Florida,Los Angeles,Telephone Counselling Centre,1
495,Pharmacy,12.10411636363035,13.131842375724805,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Washington,Miami,In-Person Counselling Centre,1
496,Pharmacy,9.165242582718657,3.893917708450008,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,New York,Seattle,Telephone Counselling Centre,1
497,Pharmacy,11.808466522249084,14.04068651694281,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,KwaZulu-Natal,Pretoria,In-Person Counselling Centre,1
498,Pharmacy,12.911144898994507,8.868669910026103,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,California,Miami,Critical Incident Response Centre,1
499,Pharmacy,8.419075859400994,13.658098894603484,CA,Canada,North America,Canada,CAD,PIPEDA-oriented privacy controls,Alberta,Calgary,In-Person Counselling Centre,1
500,Pharmacy,5.202551905543982,3.647594112448669,CA,Canada,North America,Canada,CAD,PIPEDA-oriented privacy controls,Quebec,Ottawa,Telephone Counselling Centre,1
501,Pharmacy,8.576964773654982,10.289756799358384,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,KwaZulu-Natal,Pretoria,Telephone Counselling Centre,1
502,Pharmacy,9.960996376506614,6.407401697422098,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Florida,New York,In-Person Counselling Centre,1
503,Pharmacy,9.26049809756508,4.502825828443498,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Washington,Seattle,Telephone Counselling Centre,1
504,Pharmacy,12.629550832235973,4.919816761173959,UK,United Kingdom,Europe,Western Europe,GBP,UK GDPR-oriented privacy controls,England,Cardiff,Telephone Counselling Centre,1
505,Pharmacy,5.243288765436342,14.4448327315172,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,KwaZulu-Natal,Bloemfontein,Corporate Wellness Site,1
506,Pharmacy,9.786110354139751,9.130253075765332,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,California,Austin,In-Person Counselling Centre,1
507,Pharmacy,13.076104603479186,9.48688576716076,AU,Australia,Asia-Pacific,Oceania,AUD,Australian Privacy Act-oriented controls,Victoria,Melbourne,Telephone Counselling Centre,1
508,Pharmacy,11.609660265235286,14.467832993813692,UK,United Kingdom,Europe,Western Europe,GBP,UK GDPR-oriented privacy controls,Northern Ireland,Cardiff,Critical Incident Response Centre,1
